,RVN,Match Code
87,1987-0001-35,"['0000175', '0000272', '0000377.1.0', '0000399.1.0', '0000419']"
88,1987-0001-36,"['0000181', '0000272', '0000377.1.0', '0000399.0.1', '0000419', '0000861']"
89,1987-0001-37,"['0000181', '0000272', '0000399', '0000920']"
90,1987-0001-38,"['0000181', '0000272', '0000399', '0000862']"
91,1987-0001-39,"['0000181', '0000272', '0000382', '0000419', '0000862']"
92,1987-0001-40,"['0000181', '0000277', '0000377.1.0', '0000399.1.0']"
93,1987-0001-41,"['0000134', '0000416', '0000446', '0000464', '0000715']"
94,1987-0001-42,"['0000134', '0000272', '0000416', '0000446', '0000464', '0000715']"
95,1987-0001-43,"['0000170', '0000178', '0000270', '0000465', '0000839']"
96,1987-0001-44,"['0000317', '0000357', '0000358', '0000823']"
97,1987-0001-45,"['0000271', '0000316', '0000359', '0000466', '0000840']"
98,1987-0001-46,"['0000172', '0000177', '0000270', '0000820', '0000839']"
99,1987-0001-47,"['0000173', '0000272', '0000439', '0000560', '0000696']"
100,1987-0002-01,"['0000137', '0000172', '0000272', '0000411', '0000481', '0000709', '0000820', '0000824', '0000856']"
101,1987-0002-02,"['0000181', '0000272', '0000377.1.0', '0000399.1.0', '0000411', '0000481', '0000567', '0000709', '0000824']"
102,1987-0002-03,"['0000181', '0000272', '0000377', '0000399', '0000411', '0000481', '0000567', '0000709', '0000824']"
103,1987-0002-04,"['0000181', '0000272', '0000377.0.1', '0000399.0.1', '0000411', '0000481', '0000567', '0000709', '0000824']"
104,1987-0002-05,"['0000181', '0000272', '0000377.1.0', '0000378.1.0', '0000481', '0000709', '0000824']"
105,1986-0004-01,"['0000918', '0000919']"
106,1987-0001-50,"['0000171', '0000272', '0000558', '0000819']"
107,1988-0002-01,"['0000921', '0000922']"
108,1987-0003-01,"['0000004', '0000080', '0000172', '0000275', '0000419', '0000432', '0000645', '0000822']"
109,1987-0004-01,"['0000172', '0000272', '0000419', '0000655', '0000717', '0000820', '0000856', '0000871']"
110,1989-0001-01,"['0000613', '0000767']"
111,1990-0001-01,"['0000449', '0000450', '0000491', '0000495', '0000523', '0000528', '0000629']"
112,1990-0001-02,"['0000448', '0000450', '0000491', '0000495', '0000523', '0000528', '0000629']"
113,1990-0001-04,"['0000002', '0000448', '0000450', '0000491', '0000495', '0000523', '0000528', '0000622', '0000629']"
114,1990-0002-01,"['0000489', '0000519', '0000635']"
115,1990-0003-01,"['0000097', '0000488']"
